row_id,error_type,original_text,corrected_text,source_sentence,hypothesis_sentence
0,M:VERB:FORM,,to,"It 's difficult answer at the question "" what are you going to do in the future ? "" if the only one who has to know it is in two minds .","It 's difficult to answer the question "" what are you going to do in the future ? "" if the only one who has to know it is in two minds ."
0,U:PREP,at,,"It 's difficult answer at the question "" what are you going to do in the future ? "" if the only one who has to know it is in two minds .","It 's difficult to answer the question "" what are you going to do in the future ? "" if the only one who has to know it is in two minds ."
1,M:PUNCT,,",","When I was younger I used to say that I wanted to be a teacher , a saleswoman and even a butcher .. I do n't know why .","When I was younger , I used to say that I wanted to be a teacher , a saleswoman and even a butcher . I do n't know why ."
1,R:PUNCT,..,.,"When I was younger I used to say that I wanted to be a teacher , a saleswoman and even a butcher .. I do n't know why .","When I was younger , I used to say that I wanted to be a teacher , a saleswoman and even a butcher . I do n't know why ."
2,M:PUNCT,,",",I would like to study Psychology because one day I would open my own psychology office and help people .,"I would like to study Psychology , because one day I would like to open my own psychology clinic and help people ."
2,M:VERB,,like to,I would like to study Psychology because one day I would open my own psychology office and help people .,"I would like to study Psychology , because one day I would like to open my own psychology clinic and help people ."
2,R:NOUN,office,clinic,I would like to study Psychology because one day I would open my own psychology office and help people .,"I would like to study Psychology , because one day I would like to open my own psychology clinic and help people ."
3,R:ADV,easier,more easily,"It 's difficult because I 'll have to study hard and a lot , but I think that if you like a subject , you 'll study it easier .","It 's difficult because I 'll have to study hard and a lot , but I think that if you like a subject , you 'll study it more easily ."
5,U:DET,the,,I think that the public transport will always be in the future .,I think that public transport will always exist in the future .
5,R:VERB,be,exist,I think that the public transport will always be in the future .,I think that public transport will always exist in the future .
6,U:DET,The rich,Rich,The rich people will buy a car but the poor people always need to use a bus or taxi .,"Rich people will buy a car , but poor people always need to use a bus or taxi ."
6,M:PUNCT,,",",The rich people will buy a car but the poor people always need to use a bus or taxi .,"Rich people will buy a car , but poor people always need to use a bus or taxi ."
