row_id,error_type,original_text,corrected_text,source_sentence,hypothesis_sentence
0,M:VERB:FORM,,to,"It 's difficult answer at the question "" what are you going to do in the future ? "" if the only one who has to know it is in two minds .","It 's difficult to answer the question "" what are you going to do in the future ? "" if the only one who has to know it is in two minds ."
0,U:PREP,at,,"It 's difficult answer at the question "" what are you going to do in the future ? "" if the only one who has to know it is in two minds .","It 's difficult to answer the question "" what are you going to do in the future ? "" if the only one who has to know it is in two minds ."
1,M:PUNCT,,",","When I was younger I used to say that I wanted to be a teacher , a saleswoman and even a butcher .. I do n't know why .","When I was younger , I used to say that I wanted to be a teacher , a saleswoman , and even a butcher . I do n't know why ."
1,M:PUNCT,,",","When I was younger I used to say that I wanted to be a teacher , a saleswoman and even a butcher .. I do n't know why .","When I was younger , I used to say that I wanted to be a teacher , a saleswoman , and even a butcher . I do n't know why ."
1,R:PUNCT,..,.,"When I was younger I used to say that I wanted to be a teacher , a saleswoman and even a butcher .. I do n't know why .","When I was younger , I used to say that I wanted to be a teacher , a saleswoman , and even a butcher . I do n't know why ."
3,R:ADV,easier,more easily,"It 's difficult because I 'll have to study hard and a lot , but I think that if you like a subject , you 'll study it easier .","It 's difficult because I 'll have to study hard and a lot , but I think that if you like a subject , you 'll study it more easily ."
5,U:DET,the,,I think that the public transport will always be in the future .,I think that public transport will always be in the future .
6,M:PUNCT,,",",The rich people will buy a car but the poor people always need to use a bus or taxi .,"The rich people will buy a car , but the poor people always need to use a bus or taxi ."
7,M:PRON,,it,I consider that is more convenient to drive a car because you carry on more things in your own car than travelling by car .,I consider that it is more convenient to drive a car because you can carry more things in your own car than when travelling by car .
7,M:VERB:TENSE,,can,I consider that is more convenient to drive a car because you carry on more things in your own car than travelling by car .,I consider that it is more convenient to drive a car because you can carry more things in your own car than when travelling by car .
7,U:PART,on,,I consider that is more convenient to drive a car because you carry on more things in your own car than travelling by car .,I consider that it is more convenient to drive a car because you can carry more things in your own car than when travelling by car .
